PERIOD     |          ASSETS |     LIABILITIES |          EQUITY |      NET_INCOME |    DIFF (A-L-E-NI) | CHECK
--------------------------------------------------------------------------------------------------------------
2023-01    |  112,720,676.50 |   86,718,194.97 |   20,000,000.00 |    6,002,481.53 |               0.00 | OK
2023-02    |  133,042,116.88 |  102,424,149.97 |   20,000,000.00 |   10,617,966.91 |               0.00 | OK
2023-03    |  117,536,035.58 |   80,177,404.78 |   20,000,000.00 |   17,358,630.80 |               0.00 | OK
2023-04    |  137,896,136.70 |   93,860,409.37 |   20,000,000.00 |   24,035,727.33 |              -0.00 | OK
2023-05    |  134,979,258.81 |   84,279,061.92 |   20,000,000.00 |   30,700,196.89 |               0.00 | OK
2023-06    |  141,015,792.96 |   83,933,810.98 |   20,000,000.00 |   37,081,981.98 |               0.00 | OK
2023-07    |  137,504,332.75 |   75,102,381.90 |   20,000,000.00 |   42,401,950.85 |               0.00 | OK
2023-08    |  133,676,988.01 |   65,343,938.69 |   20,000,000.00 |   48,333,049.32 |               0.00 | OK
2023-09    |  172,936,305.98 |   98,364,378.18 |   20,000,000.00 |   54,571,927.80 |              -0.00 | OK
2023-10    |  196,390,055.56 |  111,023,724.91 |   20,000,000.00 |   65,366,330.65 |               0.00 | OK
2023-11    |  220,752,808.22 |  127,251,792.65 |   20,000,000.00 |   73,501,015.57 |               0.00 | OK
2023-12    |  210,903,002.10 |  146,559,463.02 |   20,000,000.00 |   44,343,539.08 |              -0.00 | OK
2024-01    |  200,779,577.47 |  131,651,396.21 |   20,000,000.00 |   49,128,181.26 |               0.00 | OK
2024-02    |  223,187,828.69 |  144,286,503.40 |   20,000,000.00 |   58,901,325.29 |               0.00 | OK
2024-03    |  188,330,929.28 |  102,089,070.09 |   20,000,000.00 |   66,241,859.19 |               0.00 | OK
2024-04    |  199,656,681.16 |  106,998,984.31 |   20,000,000.00 |   72,657,696.85 |               0.00 | OK
2024-05    |  193,086,486.81 |   92,682,507.03 |   20,000,000.00 |   80,403,979.78 |               0.00 | OK
2024-06    |  211,058,420.11 |  104,013,725.52 |   20,000,000.00 |   87,044,694.59 |               0.00 | OK
2024-07    |  199,252,922.43 |   84,922,855.64 |   20,000,000.00 |   94,330,066.79 |               0.00 | OK
2024-08    |  204,642,317.00 |   84,233,574.79 |   20,000,000.00 |  100,408,742.21 |               0.00 | OK
2024-09    |  223,733,900.96 |   95,369,503.93 |   20,000,000.00 |  108,364,397.03 |               0.00 | OK
2024-10    |  268,300,297.50 |  134,049,203.18 |   20,000,000.00 |  114,251,094.32 |               0.00 | OK
2024-11    |  278,447,365.01 |  138,563,528.94 |   20,000,000.00 |  119,883,836.07 |               0.00 | OK
2024-12    |  295,710,531.77 |  190,396,997.71 |   20,000,000.00 |   85,313,534.06 |               0.00 | OK
2025-01    |  273,877,502.64 |  156,646,158.63 |   20,000,000.00 |   97,231,344.01 |               0.00 | OK
2025-02    |  296,318,853.32 |  168,279,711.26 |   20,000,000.00 |  108,039,142.06 |               0.00 | OK
2025-03    |  259,833,120.13 |  125,632,581.74 |   20,000,000.00 |  114,200,538.39 |               0.00 | OK
2025-04    |  255,469,460.28 |  115,948,006.39 |   20,000,000.00 |  119,521,453.89 |               0.00 | OK
2025-05    |  259,736,416.82 |  109,856,499.43 |   20,000,000.00 |  129,879,917.39 |               0.00 | OK
2025-06    |  281,470,844.45 |  119,349,567.99 |   20,000,000.00 |  142,121,276.46 |              -0.00 | OK
2025-07    |  263,040,480.87 |   93,856,359.23 |   20,000,000.00 |  149,184,121.64 |               0.00 | OK
2025-08    |  262,867,382.66 |   86,108,526.34 |   20,000,000.00 |  156,758,856.32 |              -0.00 | OK
2025-09    |  309,361,141.04 |  127,350,368.89 |   20,000,000.00 |  162,010,772.15 |               0.00 | OK
2025-10    |  332,048,026.45 |  138,622,330.09 |   20,000,000.00 |  173,425,696.36 |              -0.00 | OK
2025-11    |  370,021,758.27 |  160,108,569.74 |   20,000,000.00 |  189,913,188.53 |              -0.00 | OK
2025-12    |  385,261,696.43 |  206,699,051.12 |   20,000,000.00 |  158,562,645.31 |              -0.00 | OK
